Date,KMS1,KMS2
2019-11-01,240000,59701
2019-11-02,225000,7742
2019-11-03,220000,6770
2019-11-04,285000,8664
2019-11-05,285000,9768
2019-11-06,277000,9458
2019-11-07,265000,9321
2019-11-08,200000,21706
2019-11-09,149000,21294
2019-11-10,196000,8676
2019-11-11,245000,9684
2019-11-12,270000,9648
2019-11-13,250000,9812
2019-11-14,245000,8855
2019-11-15,205000,7477
2019-11-16,175000,6194
2019-11-17,180000,4995
2019-11-18,220000,6530
2019-11-19,195000,7887
2019-11-20,242000,7406
2019-11-21,255000,27936
2019-11-22,270000,26900
2019-11-23,242000,25931
2019-11-24,220000,4954
2019-11-25,350000,7453
2019-11-26,340000,8280
2019-11-27,0,0
2019-11-28,0,0
2019-11-29,0,0
2019-11-30,0,0
2019-12-01,290000,7222
2019-12-02,283000,9343
2019-12-03,320000,9538
2019-12-04,370000,14091
2019-12-05,365000,13535
2019-12-06,340000,13634
2019-12-07,270000,11441
2019-12-08,300000,9800
2019-12-09,372000,12440
2019-12-10,365000,10509
2019-12-11,340000,14202
2019-12-12,290000,14484
2019-12-13,318000,14485
2019-12-14,305000,11725
2019-12-15,255000,10919
2019-12-16,340000,13289
2019-12-17,325000,14589
2019-12-18,305000,14346
2019-12-19,280000,13063
2019-12-20,0,0
2019-12-21,0,0
2019-12-22,0,0
2019-12-23,0,0
2019-12-24,0,0
2019-12-25,0,0
2019-12-26,0,0
2019-12-27,0,0
2019-12-28,0,0
2019-12-29,0,0
2019-12-30,0,0
2019-12-31,0,0
2020-01-01,179000,10587
2020-01-02,183000,10652
2020-01-03,163000,12411
2020-01-04,180000,10631
2020-01-05,180000,9472
2020-01-06,196000,11906
2020-01-07,201000,12908
2020-01-08,215000,12854
2020-01-09,205000,12956
2020-01-10,228000,13053
2020-01-11,208000,10300
2020-01-12,197000,8885
2020-01-13,256600,12988
2020-01-14,246000,14519
2020-01-15,267000,14227
2020-01-16,266500,28739
2020-01-17,267500,35743
2020-01-18,258500,83546
2020-01-19,241000,30504
2020-01-20,272000,114395
2020-01-21,253500,118941
2020-01-22,260000,116978
2020-01-23,290000,22658
2020-01-24,244000,85752
2020-01-25,234000,9738
2020-01-26,193000,9279
2020-01-27,198000,14252
2020-01-28,215000,15796
2020-01-29,208000,14627
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,205000,10167
2020-02-02,190000,9493
2020-02-03,207000,11119
2020-02-04,275000,12231
2020-02-05,318000,12496
2020-02-06,286000,12334
2020-02-07,289000,12208
2020-02-08,310000,9432
2020-02-09,243500,9310
2020-02-10,278000,11700
2020-02-11,265000,14989
2020-02-12,266000,15034
2020-02-13,279000,15156
2020-02-14,237000,14770
2020-02-15,202000,12240
2020-02-16,199000,11193
2020-02-17,278000,0
2020-02-18,285000,4110
2020-02-19,248000,12712
2020-02-20,274000,12676
2020-02-21,272500,11392
2020-02-22,201000,9391
2020-02-23,181000,7839
2020-02-24,281000,11392
2020-02-25,348000,12901
2020-02-26,376000,12930
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,217000,11240
2020-03-02,269000,11599
2020-03-03,305000,25178
2020-03-04,308500,25343
2020-03-05,284000,25756
2020-03-06,170000,15415
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,125000,35000
2020-03-11,202000,3406
2020-03-12,272500,14815
2020-03-13,230000,14682
2020-03-14,200000,13481
2020-03-15,196000,12512
2020-03-16,203000,15107
2020-03-17,251000,15803
2020-03-18,230000,14695
2020-03-19,240000,12757
2020-03-20,240000,12757
2020-03-21,225000,10467
2020-03-22,195000,10236
2020-03-23,195000,12443
2020-03-24,202000,13224
2020-03-25,200000,13384
2020-03-26,194000,13403
2020-03-27,190000,12856
2020-03-28,196000,10893
2020-03-29,185000,10218
2020-03-30,200000,11815
2020-03-31,0,0
2020-04-01,200000,11516
2020-04-02,185000,12038
2020-04-03,195500,102472
2020-04-04,191300,73742
2020-04-05,192000,19342
2020-04-06,196000,66271
2020-04-07,180000,80384
2020-04-08,200000,90645
2020-04-09,200000,69352
2020-04-10,218000,60367
2020-04-11,208000,18547
2020-04-12,195000,18679
2020-04-13,200000,23442
2020-04-14,185000,24036
2020-04-15,175000,11393
2020-04-16,185000,11160
2020-04-17,180000,10860
2020-04-18,194000,8938
2020-04-19,188500,8600
2020-04-20,199000,12353
2020-04-21,217000,13139
2020-04-22,197000,13141
2020-04-23,236000,13095
2020-04-24,237000,13130
2020-04-25,198000,10984
2020-04-26,197000,10070
2020-04-27,0,0
2020-04-28,0,0
2020-04-29,0,0
2020-04-30,0,0
2020-05-01,180000,8979
2020-05-02,213000,8856
2020-05-03,242000,8988
2020-05-04,240000,10293
2020-05-05,243000,10104
2020-05-06,196500,8097
2020-05-07,197000,6291
2020-05-08,237000,6685
2020-05-09,192000,6539
2020-05-10,177000,6608
2020-05-11,183000,9066
2020-05-12,179000,9937
2020-05-13,212000,9735
2020-05-14,191000,10126
2020-05-15,195000,8734
2020-05-16,240000,7629
2020-05-17,217000,6982
2020-05-18,210000,8907
2020-05-19,270000,10818
2020-05-20,280000,11304
2020-05-21,262000,12618
2020-05-22,280000,10815
2020-05-23,220000,9535
2020-05-24,200000,8679
2020-05-25,252000,10680
2020-05-26,305000,7945
2020-05-27,,
2020-05-28,,
2020-05-29,,
2020-05-30,,
2020-05-31,,
2020-06-01,296000,8903
2020-06-02,333000,8650
2020-06-03,266000,8378
2020-06-04,212000,8311
2020-06-05,236000,6242
2020-06-06,282000,5332
2020-06-07,215000,5370
2020-06-08,322000,7723
2020-06-09,340000,7592
2020-06-10,347000,7442
2020-06-11,293000,7911
2020-06-12,247000,7211
2020-06-13,198000,8004
2020-06-14,235000,7522
2020-06-15,289000,9427
2020-06-16,296500,9326
2020-06-17,297000,9329
2020-06-18,257000,9050
2020-06-19,228000,8861
2020-06-20,230000,7851
2020-06-21,200000,7526
2020-06-22,275000,9515
2020-06-23,250000,9625
2020-06-24,212500,9554
2020-06-25,191000,11020
2020-06-26,213000,10936
2020-06-27,205000,9557
2020-06-28,210000,8993
2020-06-29,207500,9275
2020-06-30,207500,9275
2020-07-01,252500,12245
2020-07-02,262000,13306
2020-07-03,269000,13842
2020-07-04,204000,12088
2020-07-05,195000,11297
2020-07-06,229000,14225
2020-07-07,183000,15344
2020-07-08,212000,15102
2020-07-09,217000,15504
2020-07-10,186000,15092
2020-07-11,196000,12672
2020-07-12,200000,11760
2020-07-13,259500,13652
2020-07-14,260000,14063
2020-07-15,241000,14268
2020-07-16,245000,13637
2020-07-17,248000,14509
2020-07-18,188500,11600
2020-07-19,207500,11019
2020-07-20,235000,12921
2020-07-21,290000,14406
2020-07-22,220000,14387
2020-07-23,230000,14063
2020-07-24,170000,13628
2020-07-25,225000,11730
2020-07-26,180000,11038
2020-07-27,232500,13204
2020-07-28,268000,14624
2020-07-29,250250,13914
2020-07-30,250250,13914
2020-07-31,250250,13914
2020-08-01,193000,12643
2020-08-02,183000,11815
2020-08-03,240000,14466
2020-08-04,252000,15252
2020-08-05,248000,14356
2020-08-06,300000,14260
2020-08-07,250000,13822
2020-08-08,235000,12265
2020-08-09,200000,12054
2020-08-10,255000,13899
2020-08-11,240000,13669
2020-08-12,261000,12429
2020-08-13,245000,12150
2020-08-14,250000,10927
2020-08-15,258000,9825
2020-08-16,250000,9363
2020-08-17,379000,11486
2020-08-18,405000,12823
2020-08-19,364000,12723
2020-08-20,408000,13937
2020-08-21,349000,11754
2020-08-22,278000,11147
2020-08-23,289000,10019
2020-08-24,420000,13004
2020-08-25,382000,14476
2020-08-26,352000,14788
2020-08-27,300000,14725
2020-08-28,330000,12687
2020-08-29,300000,11516
2020-08-30,316000,10167
2020-08-31,323000,12495.5
2020-09-01,330000,14824
2020-09-02,343500,14803
2020-09-03,340000,15230
2020-09-04,387000,13806
2020-09-05,325000,12784
2020-09-06,263000,12231
2020-09-07,302000,14428
2020-09-08,302000,15554
2020-09-09,380000,15609
2020-09-10,342000,15256
2020-09-11,249000,14710
2020-09-12,227000,13347
2020-09-13,223000,13072
2020-09-14,247000,14573
2020-09-15,248000,15832
2020-09-16,238000,14014
2020-09-17,255000,15319
2020-09-18,252000,15091
2020-09-19,234200,12797
2020-09-20,192500,11771
2020-09-21,165000,13935
2020-09-22,165000,19568
2020-09-23,175000,11024
2020-09-24,241000,9618
2020-09-25,165000,9084
2020-09-26,170000,7694
2020-09-27,165000,9379
2020-09-28,175000,0
2020-09-29,208000,0
2020-09-30,208001,0
2020-10-01,196000,12439
2020-10-02,195000,11826
2020-10-03,192000,22275
2020-10-04,172800,0
2020-10-05,194000,0
2020-10-06,220000,13302
2020-10-07,236000,13476
2020-10-08,220000,13422
2020-10-09,221000,13298
2020-10-10,183000,11781
2020-10-11,185000,11120
2020-10-12,226000,12827
2020-10-13,261000,13456
2020-10-14,238000,13246
2020-10-15,297000,13057
2020-10-16,229000,12797
2020-10-17,183000,21354
2020-10-18,188500,0
2020-10-19,233000,12768
2020-10-20,270000,13719
2020-10-21,,
2020-10-22,,
2020-10-23,,
2020-10-24,,
2020-10-25,,
2020-10-26,,
2020-10-27,,
2020-10-28,,
2020-10-29,,
2020-10-30,,
2020-10-31,,
2020-11-01,170000,10862
2020-11-02,165000,13494
2020-11-03,165000,13440
2020-11-04,171000,13527
2020-11-05,198000,13966
2020-11-06,185000,14221
2020-11-07,191000,13578
2020-11-08,186000,12256
2020-11-09,192000,13642
2020-11-10,225000,14561
2020-11-11,203000,14217
2020-11-12,195000,13198
2020-11-13,176000,12546
2020-11-14,178000,10267
2020-11-15,165000,9768
2020-11-16,165000,14253
2020-11-17,165000,27781
2020-11-18,165000,0
2020-11-19,165000,0
2020-11-20,165000,12345
2020-11-21,165000,0
2020-11-22,165000,10039
2020-11-23,165000,12191
2020-11-24,165000,11973
2020-11-25,165000,12777
2020-11-26,169000,12228
2020-11-27,175000,0
2020-11-28,183000,0
2020-11-29,173000,0
2020-11-30,169000,0
2020-12-01,165000,13392
2020-12-02,167000,11906
2020-12-03,167000,12125
2020-12-04,187000,11443
2020-12-05,170000,11520
2020-12-06,186000,10471
2020-12-07,176000,12730
2020-12-08,184000,14827
2020-12-09,165000,0
2020-12-10,179000,14160
2020-12-11,171000,14253
2020-12-12,173000,12407
2020-12-13,172000,21327
2020-12-14,176000,13815
2020-12-15,209500,14546
2020-12-16,188000,25593
2020-12-17,165000,0
2020-12-18,165000,0
2020-12-19,165000,0
2020-12-20,165000,0
2020-12-21,165000,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,0,0
2021-01-02,0,0
2021-01-03,0,0
2021-01-04,0,0
2021-01-05,0,0
2021-01-06,0,0
2021-01-07,0,0
2021-01-08,0,0
2021-01-09,0,0
2021-01-10,0,0
2021-01-11,0,0
2021-01-12,0,0
2021-01-13,0,0
2021-01-14,0,0
2021-01-15,0,0
2021-01-16,0,0
2021-01-17,0,0
2021-01-18,0,0
2021-01-19,0,0
2021-01-20,0,0
2021-01-21,0,0
2021-01-22,0,0
2021-01-23,0,0
2021-01-24,0,0
2021-01-25,0,0
2021-01-26,0,0
2021-01-27,0,0
2021-01-28,0,0
2021-01-29,0,0
2021-01-30,0,0
2021-01-31,0,0
2021-02-01,0,0
2021-02-02,0,0
2021-02-03,0,0
2021-02-04,0,0
2021-02-05,0,0
2021-02-06,0,0
2021-02-07,0,0
2021-02-08,0,0
2021-02-09,0,0
2021-02-10,0,0
2021-02-11,0,0
2021-02-12,0,0
2021-02-13,0,0
2021-02-14,0,0
2021-02-15,0,0
2021-02-16,0,350000
2021-02-17,0,350000
2021-02-18,0,250000
2021-02-19,150000,254266
2021-02-20,150000,135000
2021-02-21,165000,5670
2021-02-22,172000,55670
2021-02-23,177000,0
2021-02-24,175000,0
2021-02-25,185000,0
2021-02-26,215000,0
2021-02-27,240000,0
2021-02-28,285000,0
2021-03-01,285000,0
2021-03-02,275000,0
2021-03-03,285000,0
2021-03-04,260000,0
2021-03-05,0,0
2021-03-06,0,0
2021-03-07,0,0
2021-03-08,0,0
2021-03-09,0,0
2021-03-10,0,0
2021-03-11,0,0
2021-03-12,0,0
2021-03-13,0,0
2021-03-14,0,0
2021-03-15,0,0
2021-03-16,0,0
2021-03-17,0,0
2021-03-18,0,0
2021-03-19,0,0
2021-03-20,0,0
2021-03-21,0,0
2021-03-22,0,0
2021-03-23,0,0
2021-03-24,0,0
2021-03-25,0,0
2021-03-26,0,0
2021-03-27,0,0
2021-03-28,0,0
2021-03-29,0,0
2021-03-30,0,0
2021-03-31,0,0
2021-04-01,0,0
2021-04-02,0,0
2021-04-03,0,0
2021-04-04,0,0
2021-04-05,0,0
2021-04-06,0,0
2021-04-07,0,0
2021-04-08,0,0
2021-04-09,0,0
2021-04-10,0,0
2021-04-11,0,0
2021-04-12,0,0
2021-04-13,0,0
2021-04-14,0,0
2021-04-15,0,0
2021-04-16,0,0
2021-04-17,0,0
2021-04-18,0,0
2021-04-19,0,0
2021-04-20,0,0
2021-04-21,0,0
2021-04-22,0,0
2021-04-23,0,0
2021-04-24,0,0
2021-04-25,0,0
2021-04-26,0,0
2021-04-27,0,0
2021-04-28,0,0
2021-04-29,0,0
2021-04-30,0,0
2021-05-01,0,0
2021-05-02,0,0
2021-05-03,48125,0
2021-05-04,0,0
2021-05-05,0,0
2021-05-06,0,0
2021-05-07,0,0
2021-05-08,0,0
2021-05-09,0,0
2021-05-10,0,0
2021-05-11,0,0
2021-05-12,0,0
2021-05-13,0,0
2021-05-14,0,0
2021-05-15,0,0
2021-05-16,0,0
2021-05-17,0,0
2021-05-18,0,0
2021-05-19,0,0
2021-05-20,0,0
2021-05-21,0,0
2021-05-22,0,0
2021-05-23,0,0
2021-05-24,0,0
2021-05-25,0,0
2021-05-26,0,0
2021-05-27,0,0
2021-05-28,0,0
2021-05-29,0,0
2021-05-30,0,0
2021-05-31,0,0
2021-06-01,0,0
2021-06-02,0,0
2021-06-03,0,0
2021-06-04,0,0
2021-06-05,0,0
2021-06-06,0,0
2021-06-07,0,0
2021-06-08,0,0
2021-06-09,0,0
2021-06-10,0,0
2021-06-11,0,0
2021-06-12,0,0
2021-06-13,0,0
2021-06-14,0,0
2021-06-15,0,0
2021-06-16,0,0
2021-06-17,0,0
2021-06-18,0,0
2021-06-19,0,0
2021-06-20,0,0
2021-06-21,0,0
2021-06-22,0,0
2021-06-23,0,0
2021-06-24,0,0
2021-06-25,0,0
2021-06-26,0,0
2021-06-27,0,0
2021-06-28,0,0
2021-06-29,0,0
2021-06-30,0,0
2021-07-01,0,0
2021-07-02,0,0
2021-07-03,0,0
2021-07-04,0,0
2021-07-05,0,0
2021-07-06,0,0
2021-07-07,0,0
2021-07-08,0,0
2021-07-09,0,0
2021-07-10,0,0
2021-07-11,0,0
2021-07-12,0,0
2021-07-13,0,0
2021-07-14,0,0
2021-07-15,0,0
2021-07-16,0,0
2021-07-17,0,0
2021-07-18,0,0
2021-07-19,0,0
2021-07-20,0,0
2021-07-21,0,0
2021-07-22,0,0
2021-07-23,0,0
2021-07-24,0,0
2021-07-25,0,0
2021-07-26,0,0
2021-07-27,0,0
2021-07-28,0,0
2021-07-29,0,0
2021-07-30,0,0
2021-07-31,0,0
2021-08-01,0,0
2021-08-02,0,0
2021-08-03,0,0
2021-08-04,0,0
2021-08-05,0,0
2021-08-06,0,0
2021-08-07,0,0
2021-08-08,0,0
2021-08-09,0,0
2021-08-10,0,0
2021-08-11,0,0
2021-08-12,0,0
2021-08-13,0,0
2021-08-14,0,0
2021-08-15,0,0
2021-08-16,0,0
2021-08-17,0,0
2021-08-18,0,0
2021-08-19,0,0
2021-08-20,0,0
2021-08-21,0,0
2021-08-22,0,0
2021-08-23,0,0
2021-08-24,0,0
2021-08-25,0,0
2021-08-26,0,0
2021-08-27,0,0
2021-08-28,0,0
2021-08-29,0,0
2021-08-30,0,0
2021-08-31,0,0
2021-09-01,0,0
2021-09-02,0,0
2021-09-03,0,0
2021-09-04,0,0
2021-09-05,0,0
2021-09-06,0,0
2021-09-07,0,0
2021-09-08,0,0
2021-09-09,0,0
2021-09-10,0,0
2021-09-11,0,0
2021-09-12,0,0
2021-09-13,0,0
2021-09-14,0,0
2021-09-15,0,0
2021-09-16,0,0
2021-09-17,0,0
2021-09-18,0,0
2021-09-19,0,0
2021-09-20,0,0
2021-09-21,0,0
2021-09-22,0,0
2021-09-23,0,0
2021-09-24,0,0
2021-09-25,0,0
2021-09-26,0,0
2021-09-27,0,0
2021-09-28,0,0
2021-09-29,0,0
2021-09-30,0,0
